locus_id,gene_name
Rv1019,Rv1019
Rv1020,mfd
Rv1021,Rv1021
Rv1022,lpqU
Rv1023,eno
Rv1024,Rv1024
Rv1025,Rv1025
Rv1026,Rv1026
Rv1027c,kdpE
Rv1028c,kdpD
Rv1028A,kdpF
Rv1029,kdpA
Rv1030,kdpB
Rv1031,kdpC
Rv1032c,trcS
Rv1033c,trcR
Rv1037c,esxI
Rv1038c,esxJ
Rv1039c,PPE15
Rv1040c,PE8
Rv1041c,Rv1041c
Rv1042c,Rv1042c
Rv1043c,Rv1043c
Rv1044,Rv1044
Rv1045,Rv1045
Rv1047,Rv1047
Rv1048c,Rv1048c
Rv1049,Rv1049
Rv1050,Rv1050
Rv1051c,Rv1051c
Rv1052,Rv1052
Rvnt17,leuX
Rv1056,Rv1056
Rv1057,Rv1057
Rv1058,fadD14
Rv1059,Rv1059
Rv1060,Rv1060
Rv1061,Rv1061
Rv1062,Rv1062
Rv1063c,Rv1063c
Rv1064c,lpqV
Rv1065,Rv1065
Rv1066,Rv1066
Rv1067c,PE_PGRS19
Rv1068c,PE_PGRS20
Rv1069c,Rv1069c
Rv1070c,echA8
Rv1071c,echA9
Rv1072,Rv1072
Rv1073,Rv1073
Rv1074c,fadA3
Rv1075c,Rv1075c
Rv1076,lipU
Rv1077,cbs
Rv1078,Rv1078
Rv1079,metB
Rv1080c,greA
Rv1081c,Rv1081c
Rv1082,mca
Rv1083,Rv1083
Rv1084,Rv1084
Rv1085c,Rv1085c
Rv1086,Rv1086
Rv1087,PE_PGRS21
Rv1088,PE9
Rv1088a,Rv1088a
Rv1091,PE_PGRS22
Rv1092c,coaA
RVnc0034,MTS0858
Rv1093,glyA1
Rv1094,desA2
Rv1095,phoH2
Rv1096,Rv1096
Rv1097c,Rv1097c
Rv1098c,fum
Rv1099c,glpX
Rv1100,Rv1100
Rv1101c,Rv1101c
Rv1102c,mazF3
Rv1103c,mazE3
Rv1106c,Rv1106c
Rv1107c,xseB
Rv1108c,xseA
Rv1109c,Rv1109c
Rv1110,lytB2
Rv1111c,Rv1111c
Rv1112,Rv1112
Rv1113,vapB32
Rv1114,vapC32
Rv1115,Rv1115
Rv1116,Rv1116
Rv1117,Rv1117
Rv1118c,Rv1118c
Rv1119c,Rv1119c
Rv1120c,Rv1120c
Rv1121,zwf1
Rv1122,gnd2
Rv1123c,bpoB
Rv1124,ephC
Rv1125,Rv1125
Rv1126c,Rv1126c
Rv1127c,ppdK
Rv1128c,Rv1128c
Rv1129c,Rv1129c
Rv1130,prpD
Rv1131,prpC
Rv1132,Rv1132
Rv1133c,metE
Rv1134,Rv1134
Rv1135c,PPE16
Rv1138a,Rv1138a
Rv1138c,Rv1138c
Rv1139c,Rv1139c
Rv1140,Rv1140
Rv1141c,echA11
