gene	degree	weighted_degree	betweenness	closeness	eigenvector	pagerank
Rv0113	3	2578	0.00011971833731282107	0.19779843402693714	0.0002629332404025307	0.00023013815089083857
Rv0015c	10	8929	0.0008807188185157206	0.216872168370225	5.604324560254759e-05	0.0006057585960489245
Rv3782	6	5459	0.000560389405205331	0.2033760256518112	3.919838926909351e-05	0.00042306059968301695
Rv1634	3	2368	0.0003582332056881629	0.19557894852623417	1.788189266863513e-05	0.0002622114833332369
Rv0511	14	12340	0.0016020823718240753	0.212527799196892	1.7498829454093223e-05	0.0008406584726387942
Rv2871	2	1833	9.204696597345172e-06	0.14325870926295392	1.1111004538904673e-07	0.00035704706888907217
Rv2131c	5	4676	0.0004482311704703821	0.20380066935793273	3.743851263528513e-05	0.0003538512523125513
Rv3699	0	0	0.0	0.0	8.946798292203376e-41	8.533636751528944e-05
Rv1309	56	46681	0.0011599072425410892	0.2647087341651399	0.05625320139735094	0.001039419044907933
Rv1891	2	1855	0.0	0.0010834236186348862	1.2109622773122452e-14	0.0005717488748350346
Rv0383c	28	20964	0.0048275882619150685	0.2367185139316716	0.0007537151242180402	0.001229301780656979
Rv2764c	12	9868	0.0023572364361047616	0.24049014597033325	0.0015925745243242546	0.0005836478225583828
Rv1129c	3	2707	0.0	0.19876513829315623	3.0076086110506954e-05	0.00021875374027581002
Rv1765c	5	3895	0.0005705727811990126	0.16992850611274243	1.7590210527202907e-07	0.00046671744928908116
Rv2725c	34	30206	0.001444439596312599	0.2455726280891293	0.04102631630173315	0.0006800590762677776
Rv0093c	3	2463	0.00017535448643661336	0.19198846166632427	2.3941790614982473e-06	0.00024255085415911173
Rv1843c	10	8224	0.0035249151078001117	0.23089481291080094	0.0009712652983038169	0.0006219623466059339
Rv3424c	0	0	0.0	0.0	8.946798292203376e-41	8.533636751528944e-05
Rv2185c	8	5924	0.0016419383427703118	0.18370188314521818	2.890167508368963e-06	0.0007428616508949398
Rv1265	0	0	0.0	0.0	8.946798292203376e-41	8.533636751528944e-05
Rv2780	3	2525	0.0015071509964712886	0.223903350461445	0.0001307991699207348	0.000260717827211854
Rv1163	7	6432	0.00015652668458629963	0.19798566716259483	3.392009894831982e-05	0.000396623129030627
Rv0289	7	6508	1.8863422632229817e-05	0.19229104395421445	1.0334973896217458e-05	0.0005142375208506014
Rv0350	32	26929	0.007881941999715618	0.2657176059287457	0.013211761109489293	0.0009975299386706688
Rv1925	4	3027	0.0	0.2151512136175443	0.0002625262385773346	0.00021433475153314686
Rv3223c	14	12123	0.004504977141561061	0.2518671957108875	0.004551627751170395	0.000661003271536065
Rv0875c	5	4066	0.002780737492349519	0.19466879519577038	2.8950090083125504e-06	0.000603734766443591
Rv2677c	9	7785	0.0007361118396564829	0.19086220944692855	1.7377229868485876e-05	0.000664333440745966
Rv1670	1	889	0.0	0.0005417118093174431	3.521986600396229e-17	0.0005689091167685962
Rv1109c	30	22838	0.0037162790689977275	0.2322131655301172	8.929948066773554e-05	0.00137782643833866
Rv1065	1	996	0.0	0.0005417118093174431	8.734316249407894e-17	0.0005689091167685958
Rv2501c	44	38009	0.007668033982536408	0.2608416192174218	0.0030652458891287787	0.001553267288136022
Rv1894c	0	0	0.0	0.0	8.946798292203376e-41	8.533636751528944e-05
Rv1488	14	11219	0.004565868854361722	0.2392326811548021	0.0006801681493736673	0.000723745826703666
Rv0642c	1	920	0.0	0.0005417118093174431	4.6317454947351814e-17	0.0005689091167685962
Rv0308	3	2389	0.001247295171042953	0.2188496276034961	0.0012823223057497454	0.0003539555874345985
Rv2851c	8	6658	0.002918272195281104	0.22311856273504857	0.00048378537214337355	0.0005568198176805339
Rv2585c	10	8230	0.00197264438303257	0.22359560303411558	0.0015672106862549698	0.00048033543097925345
Rv2551c	5	4135	0.0	0.21032955159709651	4.212143775092217e-05	0.0003324411637896722
