gene	degree	weighted_degree	betweenness	closeness	eigenvector	pagerank
Rv1604	8	7330	0.0008069084437177964	0.22558782576049644	4.677317176927305e-05	0.0004782778401288746
Rv0526	16	13756	0.001762740044402036	0.24045135426223624	8.644459808837891e-05	0.0007885825254679372
Rv2881c	14	11956	0.005010606410310836	0.25295118836849617	0.0013414490584540684	0.000672711602781385
Rv1322	2	1693	0.0	0.20034112835473658	4.960323855682791e-05	0.00016057233986792484
Rv1919c	2	1593	4.678752384771327e-05	0.21793351571161965	2.574061699613165e-05	0.00015363471203007456
Rv3264c	8	6970	0.00035629598912331376	0.20325748655230552	7.336788004864898e-06	0.0005475754773806089
Rv1713	20	16699	0.0036159885516094063	0.2627612737298664	0.0036396449368351408	0.0007162155459648939
Rv1926c	4	3307	7.239994894014568e-05	0.2084286271759104	1.44668595791095e-05	0.00027372365041541095
Rv3260c	7	5517	9.627870993548695e-05	0.23792178748899298	0.0008707485272854674	0.00031018567902191653
Rv2200c	29	26335	0.0008872913220747825	0.2648415213200089	0.0026757137023500177	0.0008682977100579063
Rv2697c	8	6445	0.0013934292258179434	0.2543535789265347	0.0010847860253503862	0.0004142243886733413
Rv2447c	12	10545	0.0010217883441808087	0.2636673470875556	0.001522505523531543	0.00048568351533042
Rv3828c	4	3173	4.065299421981884e-05	0.19271893228075054	2.081298280150193e-06	0.0003240380810336449
Rv1402	4	3094	0.0009902132610569072	0.215824481688604	0.00018264344856712146	0.00028895765867730975
Rv0487	5	3786	0.00026980289302049	0.18313573719927162	6.926510270454683e-07	0.00045150665467515275
Rv3492c	20	16536	0.006499669684393367	0.25991164515429166	0.0010692343154917131	0.0006548555789163014
Rv0718	115	106585	0.0031006471975719573	0.31935842159172906	0.12317392230881131	0.002063138333358284
Rv2297	1	733	0.0	0.1576103399846107	5.859317947095792e-09	0.00016466856525950465
Rv1540	14	11496	0.001417236902205352	0.25757685976310774	0.014058045873643985	0.00036086878933640773
Rv1087	1	862	0.0	0.0007047216349541931	7.366757757546983e-20	0.00042857154345565205
Rv0461	6	4809	0.0019464627706852198	0.21282096007464726	9.101301066439101e-06	0.000501287557838697
Rv0683	122	112358	0.006135638092913239	0.3266342847362111	0.12560912824690731	0.0022401734512463856
Rv0188	0	0	0.0	0.0	1.4795707406838718e-50	8.257638315441785e-05
Rv1796	6	5763	2.3756982724595866e-06	0.20243748660655744	6.100348616268609e-06	0.00041914172324929237
Rv3306c	3	2641	0.00023879926112383608	0.2059425604416075	3.5412686829147944e-05	0.00029414097323104634
Rv2788	9	7063	0.0014701361731348245	0.21960259077724475	9.906114112719482e-06	0.000574722562479387
Rv3236c	1	985	0.0	0.0005285412262156448	1.2850051958895019e-20	0.0005505092210294525
Rv1077	21	18850	0.002412571720212434	0.252196347379176	0.00026621895900336866	0.0009012656677645984
Rv3674c	6	5149	0.0003395641195899408	0.20869952479376316	4.763071866528597e-06	0.00041863352836861456
Rv0805	9	7922	0.0006576278898939304	0.24530005251500359	0.0009623850726059412	0.000415380792612787
Rv2842c	22	17612	0.0004255354202132767	0.26462329330310047	0.018797510919739878	0.0004547897515720668
Rv2127	2	1854	1.4230339097963172e-05	0.186518079191917	2.489162783613641e-06	0.00024715233358363255
Rv0052	2	1671	0.0	0.20228447263330984	2.5446489155245687e-05	0.00017412789114444938
Rv0716	107	100190	0.0024009820283002596	0.31227812986449116	0.12142526245226773	0.0018993580717528054
Rv1603	13	11426	0.001699358213530519	0.252791899207055	0.0006330237021630581	0.0006237554822403268
Rv2504c	12	11067	4.7962841001826033e-05	0.23537586393480117	0.00013248659526046935	0.0004636755728371056
Rv1181	38	32914	0.001601879186668272	0.2701891542593326	0.003062858896446331	0.0010964339427802729
Rv0751c	12	10629	0.0008690393641159078	0.2459764313362766	0.00015996527250378178	0.0004753871875437225
Rv1038c	14	12344	0.0007868545097859962	0.24825821641360754	0.0014061113721068835	0.0005799553723735636
Rv1692	7	6433	0.000589278275606646	0.22298766056981165	9.243911543435241e-05	0.0004477029812653324
Rv2795c	4	3302	0.0	0.22683064610301082	0.00017570650406546108	0.00021631148446067878
Rv1346	5	4267	4.3035984925829565e-05	0.22763455397834045	7.153882206608432e-05	0.00025285380508989697
Rv3624c	15	13943	0.0017934227885982586	0.26753317956734646	0.002481092504378862	0.0006039287628195378
Rv2125	1	882	0.0	0.20320604198471445	7.425728364353409e-06	0.0001195865302798505
Rv3205c	21	15995	0.001457114665074306	0.2519984531957335	9.541737682080883e-05	0.0007997485168559454
Rv3377c	3	2526	8.459118021320603e-05	0.17368676514474998	2.5295368130726243e-07	0.00034869319302662725
Rv3003c	20	17912	0.0010069606807350832	0.25605711110878865	0.0009154006922662015	0.0007052431211568497
Rv2388c	0	0	0.0	0.0	1.4795707406838718e-50	8.257638315441785e-05
Rv2476c	31	26685	0.004031161664131052	0.2812636440292895	0.002110538652548573	0.0010489048364348485
Rv1448c	25	22481	0.0010621504503148516	0.2596174848444969	0.001572550369565148	0.0009034436360588103
Rv3418c	21	17748	0.0013195229805999186	0.26323510553495305	0.004516444639816383	0.0006504146749773652
Rv0016c	14	12990	0.0004652505471796175	0.2381688139666588	0.00011773763747471469	0.0006566897325902124
Rv2849c	10	8753	0.00017574454960997147	0.2191530153900933	1.8005222549542503e-05	0.0005471714515501721
Rv0641	100	93014	0.0030852614977473426	0.3070824524312896	0.11480511223334969	0.0018196907353424045
Rv3873	11	9577	2.572001025218846e-05	0.21158705280843504	2.7925332434084466e-05	0.0004890092699429922
Rv3001c	19	16824	0.0006295412649019058	0.26113744409874995	0.0008792804770654059	0.0006807990057492178
Rv1636	1	757	0.0	0.17989403358315187	2.0307826027805577e-06	0.00015395301761989547
Rv1107c	4	3472	0.00019530333422003535	0.22407677138755425	2.9776844585964612e-05	0.00025508792787399637
Rv3774	14	11396	0.0004958323320564021	0.24703602211741746	0.0004781279991363456	0.0004806579962281399
Rv0074	1	934	0.0	0.19088613216395786	9.804667793435695e-07	0.00012358208888996387
Rv3893c	0	0	0.0	0.0	1.4795707406838718e-50	8.257638315441785e-05
Rv0424c	2	1634	0.0009737903924565345	0.17293851844514954	1.0635202180297729e-07	0.00034813803800911084
Rv0060	2	1614	0.0	0.1817263630334103	2.1302769999293564e-05	0.00018349856333789205
Rv2064	6	5097	0.0006031090815909375	0.2448138654921808	0.00014372741276531047	0.0003351402839850105
Rv2483c	2	1992	0.0	0.18798105171660193	5.92797255722759e-07	0.0002526702502672466
Rv3489	3	2515	0.0029180171346860563	0.1537176090142843	4.388137128273688e-08	0.0005130983852495338
Rv0472c	3	2295	0.0010744991277495273	0.21787437500179288	6.621608243981184e-06	0.00031217878937314235
Rv0025	0	0	0.0	0.0	1.4795707406838718e-50	8.257638315441785e-05
Rv3005c	2	1533	0.0	0.22744109685031355	0.0005155316438537932	0.00013416719237593607
Rv3269	1	983	0.0	0.14347159969292472	1.6132569341891876e-09	0.0002597485865681353
Rv0938	4	3745	0.0009989901885194754	0.233527362385575	0.00018758373685745877	0.00032775570201540094
Rv0935	10	9615	0.00015233853547994897	0.2002411951319633	2.4822240098852014e-06	0.0006243569379873491
Rv3498c	15	13399	4.058525081851738e-05	0.21225831378231508	2.696255777527677e-05	0.0005494848350097814
Rv1677	6	4783	0.0007195733503022249	0.22939059196617337	5.088261584094142e-05	0.00035365087841048064
Rv3914	6	4639	0.0015303088592043268	0.24760742386479778	0.0006524999074428631	0.00036287109047641137
Rv2181	5	4019	0.00012226056853850866	0.22326670519510758	4.5452691529305246e-05	0.00029102819150422717
Rv0557	6	5025	0.0007711230947187129	0.21594057877396633	1.0138567766732975e-05	0.00042117287514687726
Rv2970c	6	4723	0.0006533317180783684	0.21760863853682255	1.9709649173129898e-05	0.0004171782738007871
Rv1846c	3	2566	0.0	0.20786202508261667	2.923486296726117e-05	0.00022369892491996103
Rv2217	14	11431	0.0023752950791456687	0.26506010956804454	0.0007952455157622576	0.0005393536612677103
Rv3161c	1	923	0.0	0.1642526742801978	1.889972014542261e-07	0.00017450279641519187
Rv3793	25	20210	0.004891299478036053	0.28185608983029903	0.003224399711698018	0.0008509703363492955
Rv0139	20	15647	0.0018312403507137727	0.2581566147529282	0.021671484406812453	0.00044958547531335406
Rv0684	105	95016	0.00807694568666765	0.31872452238253546	0.10811004768461858	0.0019636471257253574
