geneA	geneB	combined_score
Rv0513	Rv3156	730
Rv0513	Rv3212	726
Rv0513	Rv3220c	730
Rv0513	Rv3584	719
Rv0513	Rv3806c	783
Rv0513	Rv3906c	721
Rv0513	Rv3920c	732
Rv0514	Rv0528	761
Rv0514	Rv2552c	748
Rv0514	Rv2902c	731
Rv0515	Rv1128c	918
Rv0515	Rv1148c	918
Rv0515	Rv1587c	726
Rv0515	Rv1588c	701
Rv0515	Rv1702c	972
Rv0515	Rv1765c	856
Rv0515	Rv1945	918
Rv0515	Rv2015c	777
Rv0515	Rv3466	704
Rv0515	Rv3467	741
Rv0516c	Rv1354c	709
Rv0516c	Rv1364c	992
Rv0516c	Rv3286c	891
Rv0516c	Rv3287c	844
Rv0517	Rv0518	912
Rv0517	Rv3779	737
Rv0518	Rv3707c	717
Rv0518	Rv3810	740
Rv0519c	Rv0999	870
Rv0519c	Rv2253	811
Rv0519c	Rv2383c	849
Rv0519c	Rv2903c	870
Rv0519c	Rv3484	804
Rv0519c	Rv3800c	749
Rv0520	Rv0521	973
Rv0524	Rv0525	980
Rv0524	Rv0526	991
Rv0524	Rv0527	970
Rv0524	Rv0528	872
Rv0524	Rv0529	935
Rv0524	Rv2383c	866
Rv0524	Rv2678c	886
Rv0524	Rv2847c	824
Rv0524	Rv2992c	710
Rv0524	Rv3266c	745
Rv0524	Rv3709c	733
Rv0525	Rv0526	992
Rv0525	Rv0527	933
Rv0525	Rv0528	914
Rv0525	Rv0529	896
Rv0525	Rv3214	828
Rv0526	Rv0527	996
Rv0526	Rv0528	983
Rv0526	Rv0529	995
Rv0526	Rv0530	710
Rv0526	Rv0570	712
Rv0526	Rv0794c	758
Rv0526	Rv1677	845
Rv0526	Rv2193	704
Rv0526	Rv2428	840
Rv0526	Rv2678c	822
Rv0526	Rv2713	757
Rv0526	Rv2855	758
Rv0526	Rv2968c	838
Rv0526	Rv2969c	916
Rv0526	Rv3051c	710
Rv0526	Rv3303c	809
Rv0526	Rv3673c	951
Rv0527	Rv0528	988
Rv0527	Rv0529	995
Rv0527	Rv1246c	803
Rv0527	Rv2193	736
Rv0527	Rv2678c	781
Rv0527	Rv3043c	705
Rv0527	Rv3673c	711
Rv0528	Rv0529	997
Rv0528	Rv0530	732
Rv0528	Rv2194	810
Rv0528	Rv2195	756
Rv0528	Rv2196	761
Rv0528	Rv2199c	763
Rv0529	Rv0530	751
Rv0529	Rv0816c	704
Rv0529	Rv1451	788
Rv0529	Rv2199c	790
Rv0529	Rv2874	914
Rv0529	Rv3043c	752
Rv0529	Rv3673c	796
Rv0531	Rv1274	735
Rv0531	Rv1275	738
Rv0531	Rv2525c	707
Rv0531	Rv2673	720
Rv0531	Rv3346c	732
Rv0531	Rv3668c	765
Rv0532	Rv1526c	801
Rv0532	Rv1924c	801
Rv0532	Rv1937	801
Rv0533c	Rv0534c	790
Rv0533c	Rv0636	755
Rv0533c	Rv0716	713
Rv0533c	Rv0904c	993
Rv0533c	Rv1483	872
Rv0533c	Rv1484	976
Rv0533c	Rv1527c	742
Rv0533c	Rv2048c	741
Rv0533c	Rv2243	994
Rv0533c	Rv2244	871
Rv0533c	Rv2245	988
Rv0533c	Rv2246	988
Rv0533c	Rv2524c	996
Rv0533c	Rv2933	740
Rv0533c	Rv2940c	747
Rv0533c	Rv2946c	744
Rv0533c	Rv3285	760
Rv0533c	Rv3800c	790
Rv0533c	Rv3825c	740
Rv0534c	Rv0535	792
Rv0534c	Rv0536	792
Rv0534c	Rv0542c	809
Rv0534c	Rv0548c	938
Rv0534c	Rv0553	720
Rv0534c	Rv0555	850
Rv0534c	Rv0558	961
Rv0534c	Rv0561c	708
Rv0534c	Rv1847	981
Rv0534c	Rv2715	806
Rv0535	Rv0536	991
Rv0535	Rv0539	936
Rv0535	Rv0540	920
Rv0535	Rv0541c	904
Rv0535	Rv2584c	913
Rv0535	Rv2601	986
Rv0535	Rv3631	867
Rv0536	Rv0539	978
Rv0536	Rv0540	975
Rv0536	Rv0541c	974
Rv0536	Rv0682	813
Rv0536	Rv0683	771
Rv0536	Rv0700	788
Rv0536	Rv0702	786
Rv0536	Rv0705	816
Rv0536	Rv0707	802
Rv0536	Rv0710	803
Rv0536	Rv0717	787
Rv0536	Rv0718	793
Rv0536	Rv0721	796
Rv0536	Rv1388	758
Rv0536	Rv1392	740
Rv0536	Rv2051c	712
Rv0536	Rv2056c	788
Rv0536	Rv2785c	782
Rv0536	Rv2890c	778
Rv0536	Rv3266c	944
Rv0536	Rv3458c	770
Rv0536	Rv3459c	775
Rv0536	Rv3460c	757
Rv0536	Rv3464	829
Rv0536	Rv3465	887
Rv0536	Rv3631	889
Rv0536	Rv3784	858
Rv0536	Rv3809c	842
Rv0538	Rv0539	810
Rv0538	Rv0540	806
Rv0538	Rv1024	744
Rv0538	Rv1111c	712
Rv0538	Rv1452c	701
Rv0538	Rv1648	744
Rv0538	Rv1775	761
Rv0538	Rv1917c	706
Rv0538	Rv1937	711
Rv0538	Rv2113	755
Rv0538	Rv2164c	772
Rv0538	Rv2209	701
Rv0538	Rv2264c	742
Rv0538	Rv2761c	755
Rv0538	Rv2843	743
Rv0538	Rv2939	715
Rv0538	Rv2970c	805
Rv0538	Rv3343c	711
Rv0538	Rv3347c	717
Rv0538	Rv3350c	713
Rv0538	Rv3732	715
Rv0538	Rv3788	725
Rv0538	Rv3810	850
Rv0538	Rv3835	752
Rv0538	Rv3864	793
Rv0538	Rv3879c	744
Rv0538	Rv3903c	795
Rv0538	Rv3909	760
Rv0539	Rv0540	997
Rv0539	Rv0541c	971
Rv0539	Rv3631	911
Rv0540	Rv0541c	974
Rv0540	Rv2855	735
Rv0540	Rv3631	874
Rv0541c	Rv0542c	934
Rv0541c	Rv0543c	797
Rv0541c	Rv0544c	743
Rv0541c	Rv0545c	745
Rv0541c	Rv1713	808
Rv0541c	Rv1714	759
Rv0541c	Rv3631	805
Rv0542c	Rv0543c	806
Rv0542c	Rv0545c	753
Rv0542c	Rv0548c	994
Rv0542c	Rv0553	954
Rv0542c	Rv0555	719
Rv0542c	Rv1527c	706
Rv0542c	Rv1713	736
Rv0542c	Rv2048c	712
Rv0542c	Rv2380c	704
Rv0542c	Rv2933	706
Rv0542c	Rv2940c	708
Rv0542c	Rv3506	728
Rv0542c	Rv3825c	706
Rv0543c	Rv0544c	808
Rv0543c	Rv0545c	848
Rv0544c	Rv0545c	904
Rv0544c	Rv0547c	715
Rv0544c	Rv1611	761
Rv0545c	Rv0547c	715
Rv0545c	Rv0890c	876
Rv0545c	Rv2339	805
Rv0545c	Rv3331	869
Rv0546c	Rv1779c	806
Rv0546c	Rv2564	808
Rv0546c	Rv2961	803
Rv0547c	Rv1414	870
Rv0547c	Rv2219	805
Rv0547c	Rv2308	870
Rv0547c	Rv3234c	880
Rv0547c	Rv3445c	804
Rv0547c	Rv3485c	704
Rv0547c	Rv3723	861
Rv0548c	Rv0553	974
Rv0548c	Rv0555	992
Rv0548c	Rv0558	768
Rv0548c	Rv1847	974
Rv0548c	Rv3215	950
Rv0549c	Rv0550c	933
Rv0549c	Rv0624	806
Rv0549c	Rv0960	813
Rv0549c	Rv3098A	769
Rv0549c	Rv3180c	714
Rv0549c	Rv3408	885
Rv0551c	Rv0552	792
Rv0551c	Rv0553	802
Rv0551c	Rv1426c	728
Rv0551c	Rv1527c	717
Rv0551c	Rv2048c	705
Rv0551c	Rv2933	704
Rv0551c	Rv2940c	704
Rv0551c	Rv3516	728
Rv0551c	Rv3522	748
Rv0551c	Rv3523	724
Rv0551c	Rv3825c	704
Rv0552	Rv0553	902
Rv0552	Rv0554	878
Rv0552	Rv0557	761
Rv0552	Rv0842	715
Rv0552	Rv0874c	806
Rv0552	Rv1898	808
Rv0552	Rv2724c	806
Rv0553	Rv0554	887
Rv0553	Rv0555	997
Rv0553	Rv0556	704
Rv0553	Rv0557	756
Rv0553	Rv0558	943
Rv0553	Rv3215	879
Rv0554	Rv0555	854
Rv0554	Rv0556	821
Rv0554	Rv0557	711
Rv0554	Rv1263	864
Rv0554	Rv3171c	728
Rv0554	Rv3203	803
Rv0555	Rv0556	884
Rv0555	Rv0557	888
Rv0555	Rv0558	982
Rv0555	Rv3215	995
Rv0556	Rv0557	799
Rv0556	Rv0817c	749
Rv0556	Rv0835	860
Rv0556	Rv0863	769
Rv0556	Rv0882	718
Rv0556	Rv0996	772
Rv0556	Rv1022	893
Rv0556	Rv1081c	752
Rv0556	Rv1083	759
Rv0556	Rv1109c	774
Rv0556	Rv1111c	732
Rv0556	Rv1166	768
Rv0556	Rv1209	748
Rv0556	Rv1343c	719
Rv0556	Rv1459c	729
Rv0556	Rv1486c	716
Rv0556	Rv1632c	776
Rv0556	Rv2049c	771
Rv0556	Rv2091c	755
Rv0556	Rv2138	771
Rv0556	Rv2171	713
Rv0556	Rv2360c	768
Rv0556	Rv2418c	719
Rv0556	Rv2446c	778
Rv0556	Rv2474c	751
Rv0556	Rv2700	759
Rv0556	Rv2732c	774
Rv0556	Rv2743c	705
Rv0556	Rv2927c	713
Rv0556	Rv2980	763
Rv0556	Rv3004	749
Rv0556	Rv3069	870
Rv0556	Rv3205c	773
Rv0556	Rv3212	777
Rv0556	Rv3217c	761
Rv0556	Rv3256c	747
Rv0556	Rv3311	770
Rv0556	Rv3413c	714
Rv0556	Rv3415c	721
Rv0556	Rv3438	774
Rv0556	Rv3630	877
Rv0556	Rv3850	774
Rv0557	Rv0558	866
Rv0557	Rv1159	897
Rv0557	Rv1326c	818
Rv0557	Rv1500	718
Rv0557	Rv1562c	805
Rv0557	Rv2051c	822
Rv0557	Rv2174	722
Rv0557	Rv2611c	928
Rv0558	Rv3215	837
Rv0559c	Rv0560c	951
Rv0559c	Rv0561c	849
Rv0559c	Rv2536	805
Rv0560c	Rv0561c	901
Rv0560c	Rv1404	739
Rv0560c	Rv2887	874
Rv0560c	Rv3160c	759
Rv0560c	Rv3369	804
Rv0561c	Rv0562	751
Rv0561c	Rv0563	715
Rv0561c	Rv3029c	779
Rv0562	Rv0989c	906
Rv0562	Rv1086	904
Rv0562	Rv1745c	784
Rv0562	Rv2173	946
Rv0562	Rv2361c	936
Rv0562	Rv3377c	731
Rv0562	Rv3379c	718
Rv0562	Rv3383c	941
Rv0562	Rv3397c	903
Rv0562	Rv3398c	948
Rv0563	Rv0983	819
Rv0563	Rv2694c	730
Rv0563	Rv2744c	821
Rv0563	Rv3610c	788
Rv0563	Rv3837c	811
Rv0564c	Rv0565c	812
Rv0564c	Rv0566c	735
Rv0564c	Rv1069c	807
Rv0564c	Rv1551	940
Rv0564c	Rv1713	812
Rv0564c	Rv2182c	878
Rv0564c	Rv2249c	960
Rv0564c	Rv2252	808
Rv0564c	Rv2482c	927
Rv0564c	Rv2982c	922
Rv0564c	Rv3302c	945
Rv0565c	Rv0566c	934
Rv0565c	Rv0726c	803
Rv0567	Rv1911c	870
Rv0567	Rv2809	870
Rv0567	Rv3375	864
Rv0568	Rv0570	749
Rv0568	Rv1629	706
Rv0568	Rv1937	811
Rv0568	Rv2380c	835
Rv0568	Rv2946c	716
Rv0568	Rv3554	738
Rv0568	Rv3800c	944
Rv0569	Rv0570	822
Rv0569	Rv1738	795
Rv0569	Rv2005c	819
Rv0569	Rv3132c	904
Rv0569	Rv3133c	900
Rv0570	Rv0571c	853
Rv0570	Rv0733	914
Rv0570	Rv0816c	709
Rv0570	Rv0824c	769
Rv0570	Rv1094	769
Rv0570	Rv1389	910
Rv0570	Rv1617	907
Rv0570	Rv1677	709
Rv0570	Rv1712	922
Rv0570	Rv1981c	989
Rv0570	Rv1997	898
Rv0570	Rv2003c	798
Rv0570	Rv2004c	868
Rv0570	Rv2005c	774
Rv0570	Rv2072c	723
Rv0570	Rv2116	709
Rv0570	Rv2445c	912
Rv0570	Rv2583c	904
Rv0570	Rv2629	797
Rv0570	Rv2630	791
Rv0570	Rv2631	747
Rv0570	Rv2697c	703
Rv0570	Rv2874	711
Rv0570	Rv2878c	713
Rv0570	Rv3048c	992
Rv0570	Rv3051c	915
Rv0570	Rv3052c	837
Rv0570	Rv3053c	878
Rv0570	Rv3132c	827
Rv0570	Rv3198A	859
Rv0570	Rv3247c	932
Rv0570	Rv3673c	710
Rv0571c	Rv0572c	701
Rv0571c	Rv0574c	785
Rv0571c	Rv1997	825
Rv0571c	Rv2003c	825
Rv0571c	Rv2004c	935
Rv0571c	Rv2005c	702
Rv0571c	Rv2006	847
Rv0571c	Rv2032	785
Rv0571c	Rv2625c	815
Rv0571c	Rv2630	795
Rv0571c	Rv2631	781
Rv0571c	Rv3132c	772
Rv0572c	Rv1812c	853
Rv0572c	Rv2003c	733
Rv0572c	Rv3126c	805
Rv0572c	Rv3129	812
Rv0573c	Rv0574c	975
Rv0573c	Rv1330c	926
Rv0573c	Rv1596	967
Rv0573c	Rv1901	960
Rv0573c	Rv1997	758
Rv0573c	Rv2043c	987
Rv0573c	Rv2421c	952
Rv0573c	Rv2438c	717
Rv0573c	Rv3199c	939
Rv0573c	Rv3307	909
Rv0574c	Rv1997	817
Rv0574c	Rv2030c	717
Rv0575c	Rv1403c	726
Rv0575c	Rv1405c	766
Rv0575c	Rv2504c	881
Rv0576	Rv0577	767
Rv0577	Rv1510	810
Rv0577	Rv2298	804
Rv0577	Rv3044	771
Rv0578c	Rv2813	805
Rv0578c	Rv3212	870
Rv0578c	Rv3213c	847
Rv0579	Rv0581	870
Rv0579	Rv0582	870
Rv0579	Rv2466c	870
Rv0581	Rv0582	999
Rv0582	Rv0595c	887
Rv0582	Rv0609	834
Rv0582	Rv0617	805
Rv0582	Rv0624	713
Rv0582	Rv1114	815
Rv0582	Rv1242	804
Rv0582	Rv1561	863
Rv0582	Rv2010	757
Rv0582	Rv2103c	704
Rv0582	Rv2549c	910
Rv0583c	Rv0584	771
Rv0583c	Rv1270c	755
Rv0583c	Rv1368	819
Rv0583c	Rv1411c	722
Rv0583c	Rv2945c	794
Rv0583c	Rv3006	836
Rv0584	Rv3903c	873
Rv0586	Rv0587	985
Rv0586	Rv0588	958
Rv0586	Rv0589	957
Rv0586	Rv0590	788
Rv0586	Rv0590A	787
Rv0586	Rv0591	803
Rv0586	Rv0592	782
Rv0586	Rv0593	782
Rv0586	Rv0594	820
Rv0586	Rv1966	815
Rv0587	Rv0588	991
Rv0587	Rv0589	991
Rv0587	Rv0590	973
Rv0587	Rv0590A	881
Rv0587	Rv0591	982
Rv0587	Rv0592	970
Rv0587	Rv0593	968
Rv0587	Rv0594	991
Rv0587	Rv0655	987
Rv0587	Rv1966	857
Rv0587	Rv1967	876
Rv0587	Rv1968	872
Rv0587	Rv1969	860
Rv0587	Rv1970	863
Rv0587	Rv1971	872
Rv0587	Rv3494c	827
Rv0587	Rv3495c	862
Rv0587	Rv3496c	875
Rv0587	Rv3497c	876
Rv0587	Rv3498c	874
Rv0587	Rv3499c	886
Rv0587	Rv3723	808
Rv0588	Rv0589	998
Rv0588	Rv0590	994
Rv0588	Rv0590A	884
Rv0588	Rv0591	987
Rv0588	Rv0592	970
Rv0588	Rv0593	971
Rv0588	Rv0594	984
Rv0588	Rv0655	990
Rv0588	Rv1966	889
Rv0588	Rv1967	881
Rv0588	Rv1968	878
Rv0588	Rv1969	870
Rv0588	Rv1970	875
Rv0588	Rv1971	901
Rv0588	Rv3494c	848
Rv0588	Rv3495c	875
Rv0588	Rv3496c	876
Rv0588	Rv3497c	879
Rv0588	Rv3498c	876
Rv0588	Rv3499c	892
Rv0589	Rv0590	994
Rv0589	Rv0590A	812
Rv0589	Rv0591	990
Rv0589	Rv0592	991
Rv0589	Rv0593	990
Rv0589	Rv0594	982
Rv0589	Rv0655	915
Rv0589	Rv1362c	762
Rv0589	Rv1363c	712
Rv0589	Rv1964	884
Rv0589	Rv1965	885
Rv0589	Rv1967	803
Rv0589	Rv1968	835
Rv0589	Rv1969	810
Rv0589	Rv1970	924
Rv0589	Rv1971	841
Rv0589	Rv1972	714
Rv0589	Rv3492c	735
Rv0589	Rv3494c	804
Rv0589	Rv3495c	801
Rv0589	Rv3496c	795
Rv0589	Rv3497c	819
Rv0589	Rv3498c	794
Rv0589	Rv3500c	899
Rv0589	Rv3501c	886
Rv0590	Rv0590A	951
Rv0590	Rv0591	983
Rv0590	Rv0592	975
Rv0590	Rv0593	965
Rv0590	Rv0594	950
Rv0590	Rv0655	892
Rv0590	Rv1362c	707
Rv0590	Rv1481	703
Rv0590	Rv1964	881
Rv0590	Rv1965	879
Rv0590	Rv1966	804
Rv0590	Rv1970	787
Rv0590	Rv1971	804
Rv0590	Rv3494c	784
Rv0590	Rv3495c	790
Rv0590	Rv3496c	793
Rv0590	Rv3499c	814
Rv0590	Rv3500c	908
Rv0590	Rv3501c	900
Rv0590A	Rv0591	818
Rv0590A	Rv0592	799
Rv0590A	Rv0593	796
Rv0590A	Rv0594	797
Rv0590A	Rv1146	803
Rv0591	Rv0592	998
Rv0591	Rv0593	942
Rv0591	Rv0594	912
Rv0591	Rv0655	891
Rv0591	Rv1362c	762
Rv0591	Rv1964	867
Rv0591	Rv1965	874
Rv0591	Rv1966	858
Rv0591	Rv1969	809
Rv0591	Rv1970	798
Rv0591	Rv1971	804
Rv0591	Rv3495c	794
Rv0591	Rv3496c	794
Rv0591	Rv3499c	840
Rv0591	Rv3500c	918
Rv0591	Rv3501c	902
Rv0591	Rv3777	804
Rv0592	Rv0593	998
Rv0592	Rv0594	906
Rv0592	Rv0655	889
Rv0592	Rv1362c	762
Rv0592	Rv1363c	716
Rv0592	Rv1964	874
Rv0592	Rv1965	878
Rv0592	Rv1966	863
Rv0592	Rv1967	852
Rv0592	Rv1968	861
Rv0592	Rv1971	805
Rv0592	Rv1972	721
Rv0592	Rv3494c	799
Rv0592	Rv3495c	803
Rv0592	Rv3498c	791
Rv0592	Rv3499c	829
Rv0592	Rv3500c	908
Rv0592	Rv3501c	902
Rv0593	Rv0594	992
Rv0593	Rv0655	917
Rv0593	Rv1362c	749
Rv0593	Rv1964	880
Rv0593	Rv1965	879
Rv0593	Rv1967	792
Rv0593	Rv1968	799
Rv0593	Rv1969	805
Rv0593	Rv1971	845
Rv0593	Rv1972	716
Rv0593	Rv3494c	786
Rv0593	Rv3496c	802
Rv0593	Rv3497c	799
Rv0593	Rv3498c	792
Rv0593	Rv3500c	878
Rv0593	Rv3501c	873
Rv0594	Rv0655	868
Rv0594	Rv1362c	774
Rv0594	Rv1363c	750
Rv0594	Rv1964	855
Rv0594	Rv1965	869
Rv0594	Rv1967	785
Rv0594	Rv1968	787
Rv0594	Rv1970	788
Rv0594	Rv1972	727
Rv0594	Rv3492c	722
Rv0594	Rv3495c	794
Rv0594	Rv3497c	773
Rv0594	Rv3498c	790
Rv0594	Rv3499c	798
Rv0594	Rv3500c	873
Rv0594	Rv3501c	883
Rv0595c	Rv0596c	985
Rv0595c	Rv0609	717
Rv0595c	Rv0624	804
Rv0595c	Rv0626	977
Rv0595c	Rv0749	807
Rv0595c	Rv1114	803
Rv0595c	Rv1242	815
Rv0595c	Rv1561	710
Rv0595c	Rv1740	803
Rv0595c	Rv1982A	800
Rv0595c	Rv2010	720
Rv0595c	Rv2103c	754
Rv0595c	Rv2549c	855
Rv0595c	Rv2872	760
Rv0596c	Rv0627	805
Rv0596c	Rv0665	804
Rv0598c	Rv0599c	957
Rv0600c	Rv0601c	947
Rv0600c	Rv0602c	970
Rv0600c	Rv0757	895
Rv0600c	Rv0818	809
Rv0600c	Rv0903c	914
Rv0600c	Rv0981	896
Rv0600c	Rv1017c	711
Rv0600c	Rv1027c	892
Rv0600c	Rv1033c	913
Rv0600c	Rv1248c	758
Rv0600c	Rv1734c	727
Rv0600c	Rv2215	724
Rv0600c	Rv2495c	724
Rv0600c	Rv2496c	742
Rv0600c	Rv2884	877
Rv0600c	Rv3246c	912
Rv0600c	Rv3765c	911
Rv0601c	Rv0602c	987
Rv0601c	Rv0757	727
Rv0601c	Rv0903c	739
Rv0601c	Rv0981	746
Rv0601c	Rv1017c	712
Rv0601c	Rv1033c	784
Rv0601c	Rv1248c	758
Rv0601c	Rv1734c	724
Rv0601c	Rv2215	734
Rv0601c	Rv2495c	724
Rv0601c	Rv2496c	741
Rv0601c	Rv3765c	752
Rv0602c	Rv0603	935
Rv0602c	Rv0653c	781
Rv0602c	Rv0691c	848
Rv0602c	Rv0737	812
Rv0602c	Rv0744c	767
Rv0602c	Rv0758	877
Rv0602c	Rv0844c	714
Rv0602c	Rv0894	850
Rv0602c	Rv0902c	944
Rv0602c	Rv0982	872
Rv0602c	Rv1019	733
Rv0602c	Rv1027c	843
Rv0602c	Rv1032c	899
Rv0602c	Rv1089A	730
Rv0602c	Rv1135A	801
Rv0602c	Rv1151c	849
Rv0602c	Rv1167c	741
Rv0602c	Rv1189	814
Rv0602c	Rv1190	801
Rv0602c	Rv1267c	820
Rv0602c	Rv1359	858
Rv0602c	Rv1453	796
Rv0602c	Rv1460	808
Rv0602c	Rv1556	735
Rv0602c	Rv1674c	823
Rv0602c	Rv1675c	877
Rv0602c	Rv1725c	797
Rv0602c	Rv1773c	815
Rv0602c	Rv1776c	848
Rv0602c	Rv1931c	831
Rv0602c	Rv1985c	811
Rv0602c	Rv2282c	816
Rv0602c	Rv2488c	850
Rv0602c	Rv2912c	730
Rv0602c	Rv2998A	759
Rv0602c	Rv3055	786
Rv0602c	Rv3082c	832
Rv0602c	Rv3124	813
Rv0602c	Rv3125c	748
Rv0602c	Rv3167c	859
Rv0602c	Rv3183	806
Rv0602c	Rv3245c	779
Rv0602c	Rv3263	826
Rv0602c	Rv3291c	787
Rv0602c	Rv3328c	707
Rv0602c	Rv3448	802
Rv0602c	Rv3449	745
Rv0602c	Rv3488	754
Rv0602c	Rv3692	797
Rv0602c	Rv3736	822
Rv0602c	Rv3764c	888
Rv0602c	Rv3830c	820
Rv0602c	Rv3840	865
Rv0602c	Rv3903c	784
Rv0603	Rv0604	879
Rv0603	Rv0653c	799
Rv0603	Rv0691c	822
Rv0603	Rv0737	778
Rv0603	Rv0744c	797
Rv0603	Rv0887c	716
Rv0603	Rv0894	799
Rv0603	Rv1027c	813
Rv0603	Rv1089A	732
Rv0603	Rv1135A	730
Rv0603	Rv1151c	827
Rv0603	Rv1167c	733
Rv0603	Rv1189	804
Rv0603	Rv1190	810
Rv0603	Rv1267c	819
Rv0603	Rv1271c	870
Rv0603	Rv1359	806
Rv0603	Rv1460	732
Rv0603	Rv1556	732
Rv0603	Rv1674c	802
Rv0603	Rv1675c	850
Rv0603	Rv1725c	765
Rv0603	Rv1773c	797
Rv0603	Rv1776c	805
Rv0603	Rv1804c	871
Rv0603	Rv1931c	817
Rv0603	Rv1985c	793
Rv0603	Rv2175c	732
Rv0603	Rv2253	870
Rv0603	Rv2282c	802
Rv0603	Rv2488c	805
Rv0603	Rv2912c	731
Rv0603	Rv3082c	827
Rv0603	Rv3124	785
Rv0603	Rv3125c	738
Rv0603	Rv3167c	841
Rv0603	Rv3183	746
Rv0603	Rv3263	803
Rv0603	Rv3291c	799
Rv0603	Rv3405c	733
Rv0603	Rv3446c	732
Rv0603	Rv3447c	738
Rv0603	Rv3448	803
Rv0603	Rv3488	746
Rv0603	Rv3692	733
Rv0603	Rv3736	800
Rv0603	Rv3830c	810
Rv0603	Rv3840	826
Rv0604	Rv1151c	734
Rv0604	Rv1167c	793
Rv0604	Rv1189	731
Rv0604	Rv1190	770
Rv0604	Rv1267c	767
Rv0604	Rv1675c	767
Rv0604	Rv1931c	745
Rv0604	Rv3082c	778
Rv0604	Rv3167c	732
Rv0605	Rv0606	995
Rv0605	Rv0922	791
Rv0605	Rv1765c	759
Rv0605	Rv2791c	926
Rv0605	Rv2792c	759
Rv0605	Rv2885c	954
Rv0605	Rv2977c	754
Rv0605	Rv2978c	956
Rv0605	Rv2979c	861
Rv0605	Rv3827c	952
Rv0605	Rv3828c	799
Rv0606	Rv0921	773
Rv0606	Rv1765c	730
Rv0606	Rv2791c	734
Rv0606	Rv2792c	935
Rv0606	Rv2885c	816
Rv0606	Rv2886c	775
Rv0606	Rv2977c	801
Rv0606	Rv2978c	854
Rv0606	Rv2979c	964
Rv0606	Rv3585	735
Rv0606	Rv3586	730
Rv0606	Rv3827c	769
Rv0606	Rv3828c	831
Rv0608	Rv0609	932
Rv0608	Rv0609A	803
Rv0608	Rv1172c	803
Rv0608	Rv2862A	751
Rv0609	Rv0609A	836
Rv0609	Rv0617	833
Rv0609	Rv0623	950
Rv0609	Rv1114	846
Rv0609	Rv1242	803
Rv0609	Rv1561	758
Rv0609	Rv1740	785
Rv0609	Rv2010	840
Rv0609	Rv2530c	738
Rv0613c	Rv0755c	757
Rv0613c	Rv0872c	756
Rv0613c	Rv0878c	720
Rv0613c	Rv0977	700
Rv0613c	Rv1004c	789
Rv0613c	Rv1045	709
Rv0613c	Rv1135c	747
Rv0613c	Rv1452c	768
Rv0613c	Rv1548c	746
Rv0613c	Rv1651c	767
Rv0613c	Rv1753c	757
Rv0613c	Rv1917c	771
Rv0613c	Rv1918c	723
Rv0613c	Rv2082	753
Rv0613c	Rv2209	771
Rv0613c	Rv2231A	728
Rv0613c	Rv2293c	752
Rv0613c	Rv2308	728
Rv0613c	Rv2337c	738
Rv0613c	Rv2356c	736
Rv0613c	Rv2490c	767
Rv0613c	Rv2608	718
Rv0613c	Rv2735c	729
Rv0613c	Rv2819c	760
Rv0613c	Rv2824c	701
Rv0613c	Rv2853	723
Rv0613c	Rv2949c	726
Rv0613c	Rv2954c	764
Rv0613c	Rv3081	737
Rv0613c	Rv3159c	725
Rv0613c	Rv3343c	770
Rv0613c	Rv3347c	772
Rv0613c	Rv3350c	772
Rv0613c	Rv3403c	719
Rv0613c	Rv3472	746
Rv0613c	Rv3488	870
Rv0613c	Rv3533c	729
Rv0613c	Rv3558	744
Rv0613c	Rv3727	708
Rv0613c	Rv3864	762
Rv0613c	Rv3879c	769
Rv0614	Rv0615	883
Rv0616A	Rv0617	906
Rv0617	Rv1114	878
Rv0617	Rv1561	832
Rv0617	Rv2010	719
Rv0617	Rv2548	761
Rv0618	Rv0619	998
Rv0618	Rv0620	999
Rv0618	Rv0993	910
Rv0618	Rv1550	809
Rv0618	Rv3468c	907
Rv0618	Rv3634c	907
Rv0618	Rv3809c	909
Rv0619	Rv0620	999
Rv0619	Rv0997	812
Rv0620	Rv0648	735
Rv0620	Rv0682	807
Rv0620	Rv0745	731
Rv0620	Rv0993	920
Rv0620	Rv1752	831
Rv0620	Rv2528c	892
Rv0621	Rv0622	797
Rv0623	Rv0624	999
Rv0623	Rv0626	812
Rv0623	Rv0627	811
Rv0623	Rv1741	876
Rv0623	Rv1982c	948
Rv0623	Rv2009	813
Rv0623	Rv2010	752
Rv0623	Rv2759c	959
Rv0624	Rv0627	830
Rv0624	Rv0691c	761
Rv0624	Rv0792c	733
Rv0624	Rv1019	767
Rv0624	Rv1151c	767
Rv0624	Rv1167c	788
Rv0624	Rv1359	734
Rv0624	Rv1395	800
Rv0624	Rv1460	731
Rv0624	Rv1561	795
Rv0624	Rv1674c	734
Rv0624	Rv1725c	767
Rv0624	Rv1740	943
Rv0624	Rv1776c	733
Rv0624	Rv1960c	853
Rv0624	Rv1985c	746
Rv0624	Rv2010	893
Rv0624	Rv2779c	730
Rv0624	Rv2788	798
Rv0624	Rv3060c	748
Rv0624	Rv3066	751
Rv0624	Rv3167c	730
Rv0624	Rv3183	812
Rv0624	Rv3263	770
Rv0624	Rv3328c	735
Rv0624	Rv3408	754
Rv0624	Rv3488	716
Rv0624	Rv3736	798
Rv0624	Rv3840	772
Rv0624	Rv3855	799
Rv0626	Rv0627	999
Rv0626	Rv0665	978
Rv0626	Rv2009	705
Rv0626	Rv2010	767
Rv0626	Rv3408	710
Rv0627	Rv2009	717
